K,Rin_ohm,Rf_ohm,Cf_F,A0,fc_target_Hz,M,ft_Hz,fp_Hz,M_check,K_eff,fc_eff_Hz,gain_error_pct,cutoff_error_pct,phase_deviation_fc_deg
1,10000,10000,1.59154943091895e-09,100000,10000,0.3,6000,0.060000000003,0.3,0.999903086496176,2530.47332442121,-0.00969135038240143,-74.6952667557879,53.745890004322
1,10000,10000,1.59154943091895e-09,100000,10000,0.318130185280863,6362.60370561725,0.0636260370593538,0.318130185280863,0.99991015899293,2654.31123820527,-0.00898410070695466,-73.4568876179473,52.8555344190306
1,10000,10000,1.59154943091895e-09,100000,10000,0.337356049289453,6747.12098578907,0.0674712098612642,0.337356049289453,0.999916499303315,2782.37641702522,-0.00835006966850571,-72.1762358297478,51.933735893426
1,10000,10000,1.59154943091895e-09,100000,10000,0.357743808220246,7154.87616440491,0.0715487616476265,0.357743808220246,0.999922185582475,2914.60051044099,-0.00778144175250794,-70.8539948955901,50.9809716038093
1,10000,10000,1.59154943091895e-09,100000,10000,0.37936367997396,7587.27359947921,0.0758727359985857,0.37936367997396,0.999927287501163,3050.89317411717,-0.0072712498836669,-69.4910682588283,49.9979297247002
1,10000,10000,1.59154943091895e-09,100000,10000,0.402290125996486,8045.80251992973,0.0804580252033202,0.402290125996486,0.99993186717486,3191.14256560623,-0.00681328251395108,-68.0885743439377,48.9855213859711
1,10000,10000,1.59154943091895e-09,100000,10000,0.426602107733079,8532.04215466159,0.0853204215508819,0.426602107733079,0.999935979990744,3335.21639955777,-0.00640200092556498,-66.6478360044223,47.944890066591
1,10000,10000,1.59154943091895e-09,100000,10000,0.452383358581104,9047.66717162207,0.0904766717207446,0.452383358581104,0.999939675343751,3482.92861996492,-0.00603246562491666,-65.1707138003508,46.8774178311683
1,10000,10000,1.59154943091895e-09,100000,10000,0.479722672277952,9594.45344555903,0.0959445344603875,0.479722672277952,0.999942997291728,3634.09878252379,-0.00570027082722468,-63.6590121747621,45.7847278420064
1,10000,10000,1.59154943091895e-09,100000,10000,0.5,10000,0.100000000005,0.5,0.999945137900628,3742.70997853076,-0.00548620993718885,-62.5729002146925,44.9996180283423
