Rf_ohm,Cpd_F,ft_Hz,selected_Cf_F,best_peaking_dB,bandwidth_Hz,phase_at_bandwidth_deg,classification,classification_code
10000,1e-12,1000000,1e-13,1.78799812881671e-10,1066012.91566857,-49.3376359362177,Safe,1
10000,1e-12,1125335.58260076,1e-13,1.38649074484992e-10,1209440.99329576,-49.9389165996359,Safe,1
10000,1e-12,1266380.1734674,1e-13,1.07225499660331e-10,1373620.8308767,-50.6322256788803,Safe,1
10000,1e-12,1425102.670303,1e-13,8.26640790874875e-11,1561613.45347523,-51.4276577191763,Safe,1
10000,1e-12,1603718.74375133,1e-13,6.34932490525695e-11,1777744.02081191,-52.3514203824522,Safe,1
10000,1e-12,1804721.76682717,1e-13,4.85519592858892e-11,2026568.06697438,-53.4229715615031,Safe,1
10000,1e-12,2030917.62090473,1e-13,3.69298846590462e-11,2313423.93070655,-54.666279689292,Safe,1
10000,1e-12,2285463.86413499,1e-13,2.79134228468066e-11,2645186.40338074,-56.117306891931,Safe,1
10000,1e-12,2571913.80905935,1e-13,2.09336206439135e-11,3028855.1750371,-57.8055268064023,Safe,1
10000,1e-12,2894266.12471675,1e-13,1.5543030105892e-11,3473191.26062247,-59.7732010482702,Safe,1
10000,1e-12,3257020.65565978,1e-13,1.13964219997193e-11,3987760.02649144,-62.0632986565016,Safe,1
10000,1e-12,3665241.23707963,1e-13,8.21799866996323e-12,4580312.2570182,-64.6988199099033,Safe,1
10000,1e-12,4124626.38290135,1e-13,5.79753672891643e-12,5260574.73334292,-67.7152859024121,Safe,1
10000,1e-12,4641588.83361278,1e-13,3.96338588753311e-12,6034828.78731694,-71.1162616932079,Safe,1
10000,1e-12,5223345.07426684,1e-13,2.58246895542932e-12,6902777.55394085,-74.8536874770556,Safe,1
10000,1e-12,5878016.07227491,1e-13,1.55449587608376e-12,7866118.58243956,-78.8923970828335,Safe,1
10000,1e-12,6614740.64123015,1e-13,7.96534487372979e-13,8916027.35247492,-83.1210266768305,Safe,1
10000,1e-12,7443803.0132517,1e-13,2.46867831437638e-13,10045751.1377996,-87.4466775376526,Safe,1
10000,1e-12,8376776.40068292,4.64158883361277e-13,2.12152042641723e-14,9518773.70228097,-89.7997600556739,Safe,1
10000,1e-12,9426684.55117885,7.4438030132517e-13,2.12152042641723e-14,9250214.11693805,-89.7916520683373,Safe,1
10000,1e-12,10608183.5513945,9.42668455117885e-13,1.11861986120181e-13,9210653.01963757,-89.0334336973947,Safe,1
10000,1e-12,11937766.4171444,1.06081835513945e-12,1.89008183444442e-13,9396822.42488836,-88.2883319486501,Safe,1
10000,1e-12,13433993.325989,1.06081835513945e-12,1.2921988051814e-13,10020260.1348646,-88.6937268658706,Safe,1
10000,1e-12,15117750.7061566,1.06081835513945e-12,1.04147366387754e-13,10645973.1370521,-88.8140661572725,Safe,1
10000,1e-12,17012542.7985259,1.06081835513945e-12,1.00290056521541e-13,11271196.1637418,-88.6592462599863,Safe,1
10000,1e-12,19144819.7616996,1.06081835513945e-12,1.2343391571882e-13,11888299.8026255,-88.2124178525933,Safe,1
10000,1e-12,21544346.9003188,1.06081835513945e-12,1.56221049581631e-13,12492904.7435407,-87.4880771674617,Safe,1
10000,1e-12,24244620.1708233,9.42668455117885e-13,7.71461973242629e-15,14072015.4032645,-89.8762757977021,Safe,1
10000,1e-12,27283333.7648677,9.42668455117885e-13,5.01450282607708e-14,14745609.8581406,-88.8959801175905,Safe,1
10000,1e-12,30702906.2975785,9.42668455117885e-13,9.64327466553282e-14,15389002.4976905,-87.6290794679513,Safe,1
10000,1e-12,34551072.9459222,9.42668455117885e-13,1.44649119982992e-13,16000960.0572453,-86.1278698163274,Safe,1
10000,1e-12,38881551.8030809,8.37677640068292e-13,4.24304085283445e-14,18043133.9747191,-88.6538876717192,Safe,1
10000,1e-12,43754793.7507418,8.37677640068292e-13,8.29321621235823e-14,18705102.884403,-86.890788758862,Safe,1
10000,1e-12,49238826.3170674,7.4438030132517e-13,1.3500584531746e-14,21079362.9168392,-89.5568242629536,Safe,1
10000,1e-12,55410203.3000949,7.4438030132517e-13,5.01450282607708e-14,21794509.32611,-87.5503846416883,Safe,1
10000,1e-12,62355073.4127391,7.4438030132517e-13,8.48608170566889e-14,22438309.2142505,-85.3344424970236,Safe,1
10000,1e-12,70170382.8670384,6.61474064123016e-13,3.08584789297051e-14,25320077.7627639,-88.1269368439674,Safe,1
10000,1e-12,78965228.6849973,6.61474064123016e-13,6.17169578594101e-14,26002809.3624329,-85.6963130594111,Safe,1
10000,1e-12,88862381.6274341,5.87801607227492e-13,1.3500584531746e-14,29335062.7096164,-88.6269915867269,Safe,1
10000,1e-12,100000000,5.87801607227492e-13,3.85730986621314e-14,30056416.8309327,-85.9961165937768,Safe,1
10000,5e-12,1000000,1e-13,7.60102195683306e-11,1340580.47657034,-72.5487780368217,Safe,1
10000,5e-12,1125335.58260076,1e-13,4.73099055089754e-11,1537348.42313274,-76.6307897220494,Safe,1
10000,5e-12,1266380.1734674,1e-13,2.606191411103e-11,1754746.52615159,-81.0153039973133,Safe,1
10000,5e-12,1425102.670303,1e-13,1.05362418995548e-11,1991260.95501767,-85.6031673356391,Safe,1
10000,5e-12,1603718.74375133,9.42668455117885e-13,1.08004676253967e-13,2071089.60851051,-89.9466263676469,Safe,1
10000,5e-12,1804721.76682717,3.45510729459222e-12,1.2285531923888e-12,1833483.29765414,-89.5768052377473,Safe,1
10000,5e-12,2030917.62090473,4.37547937507418e-12,1.76857657365855e-12,1842917.94355898,-89.3971486192772,Safe,1
10000,5e-12,2285463.86413499,4.92388263170673e-12,2.50339410317197e-12,1892949.2550767,-89.0925357350816,Safe,1
10000,5e-12,2571913.80905935,4.92388263170673e-12,5.30380106604292e-13,2025312.78858629,-89.7752519848765,Safe,1
10000,5e-12,2894266.12471675,5.5410203300095e-12,4.80620809330025e-12,2037088.41784131,-87.9576494056687,Safe,1
10000,5e-12,3257020.65565978,5.5410203300095e-12,4.61527125492281e-12,2156574.27256977,-87.8007697674326,Safe,1
10000,5e-12,3665241.23707963,5.5410203300095e-12,4.95278586821627e-12,2274868.35039608,-87.3705934481334,Safe,1
10000,5e-12,4124626.38290135,4.92388263170673e-12,4.41661979681394e-13,2562612.48867227,-89.706080272252,Safe,1
10000,5e-12,4641588.83361278,4.92388263170673e-12,1.38477424197041e-12,2693808.35510009,-88.9799199963187,Safe,1
10000,5e-12,5223345.07426684,4.92388263170673e-12,2.46867831437606e-12,2821504.9798335,-87.9869551868107,Safe,1
10000,5e-12,5878016.07227491,4.92388263170673e-12,3.63165723903892e-12,2944102.64052498,-86.7354767795008,Safe,1
10000,5e-12,6614740.64123015,4.37547937507418e-12,7.05887705516977e-13,3318192.97137967,-89.2111862726368,Safe,1
