classification,Rf_ohm,Cpd_F,Cf_F,ft_Hz,f_Hz,magnitude_normalized_dB
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10,-8.68583111187222e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10.3009086661477,-8.6858301898695e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10.6108719348317,-8.68582921106734e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10.9301622668892,-8.68582817266914e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,11.25906032174,-8.68582707081756e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,11.5978552040891,-8.68582590194455e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,11.9468447180528,-8.68582466132485e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,12.3063356289312,-8.68582334510113e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,12.6766439328579,-8.68582194835526e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,13.0580951345645,-8.68582046655486e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,13.4510245335017,-8.68581889381747e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,13.8557775185714,-8.68581722522497e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,14.2727098717267,-8.6858154548949e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,14.7021880807081,-8.68581357617334e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,15.14458966119,-8.6858115825028e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,15.6003034886204,-8.68580946742222e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,16.0697301400464,-8.68580722273473e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,16.5532822462259,-8.68580484130424e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,17.0513848543338,-8.68580231445171e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,17.5644758015827,-8.68579963291951e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,18.0930061000866,-8.68579678764286e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,18.6374403333045,-8.68579376868911e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,19.1982570644148,-8.68579056525766e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,19.7759492569762,-8.68578716616222e-05
