case_id,op_amp_model,Rf_ohm,Cpd_F,Cf_F,frequency_Hz,transimpedance_dBOhm,phase_deg,Vnin_mag_dB,Vnin_phase_deg,source_raw_export_filename,source_raw_export_relative_path
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10,80.0001016119135,179.99996421955,-18.6373423076925,-179.981713812792,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.115794542599,80.0001016119134,179.999963805232,-18.6373422975235,-179.981502068739,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.2329299228075,80.0001016119134,179.999963386117,-18.6373422864391,-179.981287872807,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.3514216667934,80.0001016119133,179.999962962148,-18.6373422751092,-179.981071196603,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.471285480509,80.0001016119133,179.99996253327,-18.6373422639331,-179.980852011407,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.5925372517729,80.0001016119133,179.999962099426,-18.6373422522297,-179.980630288167,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.7151930523761,80.0001016119132,179.999961660558,-18.6373422402631,-179.980405997494,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.839269140212,80.0001016119131,179.999961216608,-18.6373422287025,-179.980179109656,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,10.9647819614319,80.0001016119131,179.999960767517,-18.6373422157859,-179.979949594584,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,11.091748152624,80.000101611913,179.999960313227,-18.6373422033976,-179.979717421852,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,11.2201845430196,80.000101611913,179.999959853675,-18.6373421901806,-179.979482560688,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,11.3501081567232,80.0001016119129,179.999959388803,-18.6373421768033,-179.97924497996,OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1p/OPA818_Rf10k_Cpd10p_Cf1p0_raw.txt
